"Add Bundle Packs Link to Top Menu","Add Bundle Packs Link to Top Menu"
"Display Link to All Bundle Packs in Top Menu","Display Link to All Bundle Packs in Top Menu"
"Bundle Packs Item Label","Bundle Packs Item Label"
"Used in top menu","Used in top menu"
"Display Upsell Message in Cart","Display Upsell Message in Cart"
"Display one random hint message in cart, telling the customer which product to add in order to get the Bundle Pack discount.","Display one random hint message in cart, telling the customer which product to add in order to get the Bundle Pack discount."
"Display Bundle Pack in Cart","Display Bundle Pack in Cart"
"Display one random Bundle Pack in cart, telling the customer which Bundle Pack to add in order to get the discount.","Display one random Bundle Pack in cart, telling the customer which Bundle Pack to add in order to get the discount."
"Elastic Search","Elastic Search"
Status,Status
"Speed up the search, catalog and related products with improved indexing. See more details <a target=""_blank"" href=""https://amasty.com/elasticsearch-for-magento-2.html?utm_source=extension&utm_medium=backend&utm_campaign=relatedproducts__elastic_m2"">here</a>.","Speed up the search, catalog and related products with improved indexing. See more details <a target=""_blank"" href=""https://amasty.com/elasticsearch-for-magento-2.html?utm_source=extension&utm_medium=backend&utm_campaign=relatedproducts__elastic_m2"">here</a>."
"Indexed rule/product association","Indexed rule/product association"
"Indexed product/rule association","Indexed product/rule association"
"Bundle Packs List","Bundle Packs List"
"List of your bundle packs containers.","List of your bundle packs containers."
"Number of Columns","Number of Columns"
Template,Template
Index,Index
"Amasty Related Product Block","Amasty Related Product Block"
"List of products by conditions.","List of products by conditions."
"Product Rule Id","Product Rule Id"
ID,ID
Thumbnail,Thumbnail
Type,Type
SKU,SKU
"Bundle Pack","Bundle Pack"
Back,Back
Enable,Enable
"Enable From","Enable From"
To,To
"Bundle Pack Name","Bundle Pack Name"
"For internal use","For internal use"
Store,Store
"Customer Groups","Customer Groups"
Title,Title
"Displayed on the products page","Displayed on the products page"
"Buy together","Buy together"
"Discount Type","Discount Type"
"Discount Amount","Discount Amount"
"Apply Discount to the Main Product","Apply Discount to the Main Product"
"Upsell Message","Upsell Message"
"Allowed variables: {product_names}, {discount_amount}.
                        Please make sure the Bundle Packs > 'Display Upsell Message in Cart' setting is enabled in the configuration.
                    ","Allowed variables: {product_names}, {discount_amount}.
                        Please make sure the Bundle Packs > 'Display Upsell Message in Cart' setting is enabled in the configuration.
                    "
"Bundle Pack Products","Bundle Pack Products"
"Add products","Add products"
"Add Bundle Products","Add Bundle Products"
Cancel,Cancel
"Add Selected Products","Add Selected Products"
Remove,Remove
Actions,Actions
"Main Products","Main Products"
"Add Main Products","Add Main Products"
"Add New Pack","Add New Pack"
"All Store Views","All Store Views"
"Store View","Store View"
"Delete items","Delete items"
"Are you sure to delete selected packs?","Are you sure to delete selected packs?"
Disable,Disable
Duplicate,Duplicate
"Pack Name","Pack Name"
"Created At","Created At"
"Related Product Rule","Related Product Rule"
"Rule Information","Rule Information"
"Enable Rule","Enable Rule"
"Rule Name","Rule Name"
Priority,Priority
"Only one rule can be applied in one position. If there are several rules, the rule with the highest priority will be executed. Here 1 is the highest priority.","Only one rule can be applied in one position. If there are several rules, the rule with the highest priority will be executed. Here 1 is the highest priority."
Stores,Stores
"'Where to Display' Conditions","'Where to Display' Conditions"
"Block Position","Block Position"
"For 'Shopping Cart Page' the conditions are applied only to the latest added item.","For 'Shopping Cart Page' the conditions are applied only to the latest added item."
"Replace Type","Replace Type"
"Show only for ""Out of Stock"" Products","Show only for ""Out of Stock"" Products"
"Select Categories","Select Categories"
"Block Embedding","Block Embedding"
"Insert this code into layout to display the product block.","Insert this code into layout to display the product block."
"Preview Products","Preview Products"
